Int2_Name,C-Index,H-Index,BDE_kcalmol,Int1_Name,appearance_index,count,substructure,count_substructure,appearance_index_substructure,apperance_index_substructure
5Hexen1thiol_RH_Sub1_C8_H19,7,18,115.76604053496396,5Hexen1thiol_RH_Sub1,1,2,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
4Penten1amine_RH_Sub26_C7_H17,6,16,118.0812538674884,4Penten1amine_RH_Sub26,3,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
aa98_opt_C23_H28,22,27,118.107604475004,aa98_opt,4,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa150_opt_C12_H17,11,16,118.21114071996988,aa150_opt,4,5,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
aa323_plan2_opt_C6_H19,5,18,117.63748524005253,aa323_plan2_opt,5,10,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
5Hexen1thiol_RH_Sub24_C6_H7,5,6,113.82913001000531,5Hexen1thiol_RH_Sub24,2,3,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa208_opt_C10_H23,9,22,117.39138601500828,aa208_opt,2,5,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Benzoicacid_RH_Sub5_C11_H14,10,13,117.90153159248774,Benzoicacid_RH_Sub5,4,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Azulene_RH_Sub7_C7_H13,6,12,122.34533097247294,Azulene_RH_Sub7,1,7,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
3Buten1amine_gamma_RH_Sub2_C11_H13,10,12,116.28599644749272,3Buten1amine_gamma_RH_Sub2,1,2,"{'first layer': ['F', 'C'], 'second layer': []}",15,1,1
aa247_opt_C4_H16,3,15,117.02106563502554,aa247_opt,2,6,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
2Propen1thiol_RH_Sub9_C8_H10,7,9,114.04866151251156,2Propen1thiol_RH_Sub9,2,2,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
2Ethen1amine_RH_Sub7_C6_H8,5,7,116.93016535749273,2Ethen1amine_RH_Sub7,1,2,"{'first layer': ['N', 'C'], 'second layer': ['N']}",2,1,1
Toluene_RH_Sub23_C2_H11,1,10,118.35559874998212,Toluene_RH_Sub23,3,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
3Buten1thiol_RH_Sub16_C8_H9,7,8,118.08629206503298,3Buten1thiol_RH_Sub16,2,2,"{'first layer': ['C'], 'second layer': []}",656,1,1
Azulene_RH_Sub8_C1_H18,0,17,116.12065521746472,Azulene_RH_Sub8,2,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Cyclopentene_RH_Sub29_C3_H11,2,10,120.3852487550165,Cyclopentene_RH_Sub29,3,3,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Thiobenzoicacid_RH_Sub21_C8_H12,7,11,119.92363214496152,Thiobenzoicacid_RH_Sub21,4,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa101_plan_opt_C15_H20,14,19,117.4821438500672,aa101_plan_opt,9,10,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Benzeneethaneamine_o_RH_Sub15_C11_H20,10,19,119.10136242005932,Benzeneethaneamine_o_RH_Sub15,4,4,"{'first layer': ['C', 'C'], 'second layer': ['Cl']}",92,1,1
aa335_plan_opt_C8_H13,7,12,117.66528411755417,aa335_plan_opt,7,8,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
2Propen1ol_RH_Sub5_C6_H7,5,6,118.56958252501757,2Propen1ol_RH_Sub5,1,2,"{'first layer': ['C', 'C'], 'second layer': ['Cl', 'O']}",2,1,1
aa104_opt_C5_H10,4,9,117.51235985747456,aa104_opt,5,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa293_opt_C1_H21,0,20,119.00122283248436,aa293_opt,2,4,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
3Buten1amine_RH_Sub28_C9_H14,8,13,118.16872046500464,3Buten1amine_RH_Sub28,1,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
aa79_opt_C5_H10,4,9,117.39564548497724,aa79_opt,8,8,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa264_plan_opt_C1_H20,0,19,119.07237003755256,aa264_plan_opt,3,8,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa61_plan_opt_C3_H8,2,7,117.59485665500762,aa61_plan_opt,4,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Ethene_RH_Sub25_C1_H6,0,5,119.22745917256606,Ethene_RH_Sub25,2,3,"{'first layer': ['C'], 'second layer': ['Cl']}",24,1,1
Styrene_RH_Sub20_C1_H2,0,1,117.53561688999724,Styrene_RH_Sub20,7,8,"{'first layer': ['C'], 'second layer': []}",656,1,1
4Penten1amine_RH_C7_H17,6,16,118.06974175251234,4Penten1amine_RH,3,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
